Business Name,Business Type,Address,City,State,Zip,Hours of Operation/Days Open,Phone,Website,Member Since,Customer Reviews,Star Rating,Facebook,Twitter,Instagram,Photos
1:11,DISPENSARY,17034 HIGHWAY 17,MOFFAT,CO,81143,[Sunday to Saturday => 10 am to 7 pm],(719) 754-1975,,20/04/2016,0,,,,,
$100.00 OZ,DELIVERY,,"SAN DIEGO, BARSTOW",CA.,,[Sunday to Saturday => 9 am to 9 pm],(619) 653-4122,,20/04/2016,0,4.9,,,,
$15 SHATTER R US,DISPENSARY,12072 BROOKHURST STREET,GARDEN GROVE,CA,92840,[Sunday to Saturday => 10 am - 11:45 pm],(714) 457-2398,HTTP://INSTAGRAM.COM/WAXONWAXGG,20/04/2016,0,4.8,,,http://www.instagram.com/waxonwaxgg,"[https://images.weedmaps.com/pictures/listings/917/768/619/large/1676875_image1.PNG-3.jpeg], [https://images.weedmaps.com/pictures/listings/917/768/619/large/1676876_image1.PNG-2.jpeg], [https://images.weedmaps.com/pictures/listings/917/768/619/large/1676878_image1.PNG.jpeg], [https://images.weedmaps.com/pictures/listings/917/768/619/large/1676879_image1.PNG-7.jpeg], [https://images.weedmaps.com/pictures/listings/917/768/619/large/1676886_image1-2.JPG], [https://images.weedmaps.com/pictures/listings/917/768/619/large/1676888_FullSizeRender.jpg], [https://images.weedmaps.com/pictures/listings/917/768/619/large/1676889_image1-3.JPG], [https://images.weedmaps.com/pictures/listings/917/768/619/large/1679327_FullSizeRender-2.jpg], [https://images.weedmaps.com/pictures/listings/917/768/619/large/1739212_image1-6.JPG], [https://images.weedmaps.com/pictures/listings/917/768/619/large/1739216_image1.PNG-4.jpeg], "
$15 SHATTER WHOLESALE,DISPENSARY,735 N D STREET,SAN BERNARDINO,CA,92401,[Sunday to Saturday => 10 am - 10:45 pm],(909) 294-1722,,20/04/2016,0,4.9,,,http://instagram.com/shatterwholesale909,"[https://images.weedmaps.com/pictures/listings/223/952/926/large/2937282_IMG_2579.JPG], [https://images.weedmaps.com/pictures/listings/223/952/926/large/2937332_IMG_2582.JPG], [https://images.weedmaps.com/pictures/listings/223/952/926/large/2937335_IMG_2583.JPG], [https://images.weedmaps.com/pictures/listings/223/952/926/large/2937336_IMG_2586.JPG], [https://images.weedmaps.com/pictures/listings/223/952/926/large/2937338_IMG_2588.JPG], [https://images.weedmaps.com/pictures/listings/223/952/926/large/2960057_IMG_2671.JPG], [https://images.weedmaps.com/pictures/listings/223/952/926/large/2960058_IMG_2676.JPG], [https://images.weedmaps.com/pictures/listings/223/952/926/large/2960059_IMG_2678.JPG], [https://images.weedmaps.com/pictures/listings/223/952/926/large/2960061_IMG_2679.JPG], "
$15 STRAIN STATION,DISPENSARY,730 EAST DYER RD,SANTA ANA,CA,92705,"[Sunday => 11 am - 7 pm, Monday to Saturday => 10 am - 8 pm]",(714) 477-6892,,20/04/2016,0,5,https://www.facebook.com/strainstationoc/,,http://instagram.com/strain_station714,"[https://images.weedmaps.com/pictures/listings/626/936/619/large/6006412_170701_49097_AceOfSpades_2.jpg], [https://images.weedmaps.com/pictures/listings/626/936/619/large/6006413_170701_49097_BirthdayCake_2.jpg], [https://images.weedmaps.com/pictures/listings/626/936/619/large/6006414_170701_49097_BirthdayCakeOG_2.jpg], [https://images.weedmaps.com/pictures/listings/626/936/619/large/6006417_170701_49097_BlueDream_2.jpg], [https://images.weedmaps.com/pictures/listings/626/936/619/large/6006418_170701_49097_BudderOG_2.jpg], [https://images.weedmaps.com/pictures/listings/626/936/619/large/6006420_170701_49097_CherryBomb.jpg], [https://images.weedmaps.com/pictures/listings/626/936/619/large/6006421_170701_49097_CriticalMassOG.jpg], [https://images.weedmaps.com/pictures/listings/626/936/619/large/6006423_170701_49097_CrownKush_2.jpg], [https://images.weedmaps.com/pictures/listings/626/936/619/large/6006424_170701_49097_DiamondOG_2.jpg], [https://images.weedmaps.com/pictures/listings/626/936/619/large/6006411_170701_49097_AcapulcoGold.jpg], "
$15 THE JOINT - SANTA ANA - 92705,DISPENSARY,1325 EAST ST ANDREW PLACE,SANTA ANA,CA,92705,"[Sunday => 11 am - 7 pm, Monday to Saturday => 10 am - 8 pm]",(714) 845-3420,,20/04/2016,0,4.8,https://www.facebook.com/profile.php?id=100010939112900,,http://instagram.com/THEJOINTSA,"[https://images.weedmaps.com/pictures/listings/508/356/413/large/2084334_LSD.jpg], [https://images.weedmaps.com/pictures/listings/508/356/413/large/2084332_LAMBS_BREAD_CRUMBLE.jpg], [https://images.weedmaps.com/pictures/listings/508/356/413/large/2084330_HBK_OG_CRUMBLE.jpg], [https://images.weedmaps.com/pictures/listings/508/356/413/large/2084318_BEYOND_BLUE_DREAM_NUG_RUN_SHATTER.jpg], [https://images.weedmaps.com/pictures/listings/508/356/413/large/2084320_BLUEBERRY_SOUR_BELTS.jpg], [https://images.weedmaps.com/pictures/listings/508/356/413/large/2084331_HOT_CHEETOS.jpg], [https://images.weedmaps.com/pictures/listings/508/356/413/large/2084329_GORILLA_OG_NUG_RUN_SHATTER.jpg], [https://images.weedmaps.com/pictures/listings/508/356/413/large/2084327_GORILLA_GLUE.jpg], [https://images.weedmaps.com/pictures/listings/508/356/413/large/2084338_PLATINUM_OG.jpg], [https://images.weedmaps.com/pictures/listings/508/356/413/large/2084337_PARIS_OG_CRUMBLE.jpg], "
$18 SHATTER WHOLESALE,DISPENSARY,986 VISTA VILLAGE DR.,VISTA,CA,92084,"[Sunday to Thursday => 10 am - 10:45 pm, Friday & Saturday => 10 am - 11:45 pm]",(760) 655-2568,,20/04/2016,0,4.8,,,,
(LUX) POT SHOP,DISPENSARY,4912 17TH AVE NW,SEATTLE,WASHINGTON,98122,"[Sunday => 8:00am - 11:00pm], [Monday => 8:00am - 11:00pm], [Tuesday => 8:00am - 11:00pm], [Wednesday => 8:00am - 11:00pm], [Thursday => 8:00am - 11:45pm], [Friday => 8:00am - 11:45pm], [Saturday => 8:00am - 11:45pm], [Sunday => 8:00am - 11:00pm], [Monday => 8:00am - 11:00pm], [Tuesday => 8:00am - 11:00pm], [Wednesday => 8:00am - 11:00pm], [Thursday => 8:00am - 11:45pm], [Friday => 8:00am - 11:45pm], [Saturday => 8:00am - 11:45pm]",(206) 294-5586,http://luxpotshop.com,20/04/2016,0,4.8,https://www.facebook.com/LuxPotShopSeattle/,https://twitter.com/LuxPotShop,https://www.instagram.com/lux_pot_shop/,"[https://images.weedmaps.com/pictures/listings/845/932/577/large/2878963_20160616B_44568_Interior_Art_2__083_of_90_.jpg], [https://images.weedmaps.com/pictures/listings/845/932/577/large/2878966_20160616B_44568_Interior_Display_-Community__Culture__Cannabis-__088_of_90_.jpg], [https://images.weedmaps.com/pictures/listings/845/932/577/large/2878968_20160616B_44568_Interior_Display1__085_of_90_.jpg], [https://images.weedmaps.com/pictures/listings/845/932/577/large/2878971_20160616B_44568_Interior_Display2__086_of_90_.jpg], [https://images.weedmaps.com/pictures/listings/845/932/577/large/2878972_20160616B_44568_Interior_Display3__087_of_90_.jpg], [https://images.weedmaps.com/pictures/listings/845/932/577/large/2878974_20160616B_44568_Interior_Group_Shot__089_of_90_.jpg], [https://images.weedmaps.com/pictures/listings/845/932/577/large/2878976_20160616B_44568_Interior_Sales__082_of_90_.jpg], [https://images.weedmaps.com/pictures/listings/845/932/577/large/2878978_20160616B_44568_Interior_Sales_Desk__084_of_90_.jpg], [https://images.weedmaps.com/pictures/listings/845/932/577/large/2878981_20160616B_44568_Outside_w_slick_car__090_of_90_.jpg], [https://images.weedmaps.com/pictures/listings/845/932/577/large/2878961_20160616B_44568_Interior_Art__081_of_90_.jpg], "
?CELESTE TAYLOR MD,DOCTOR,2457 S TELSHOR AVE,LAS CRUCES,NM,88011,"[Sunday => 7:00am - 8:00pm], [Monday => 7:00am - 8:00pm], [Tuesday => 7:00am - 8:00pm], [Wednesday => 7:00am - 8:00pm], [Thursday => 7:00am - 8:00pm], [Friday => 7:00am - 8:00pm], [Saturday => 7:00am - 8:00pm], [Sunday => 7:00am - 8:00pm], [Monday => 7:00am - 8:00pm], [Tuesday => 7:00am - 8:00pm], [Wednesday => 7:00am - 8:00pm], [Thursday => 7:00am - 8:00pm], [Friday => 7:00am - 8:00pm], [Saturday => 7:00am - 8:00pm]",(575) 288-6327,,20/04/2016,0,,https://www.facebook.com/people/Celeste-Taylor-Mdpa/100015217487424,,,
059 SOCIAL CLUB,DISPENSARY,C/ SANT ANTONI MARIA CLARET 25,BARCELONA,SP,8037,"[Sunday to Saturday => 2 pm - 10 pm], [Sunday to Saturday => 2 pm - 10 pm]",,http://059socialclub.com,20/04/2016,0,5,https://www.facebook.com/059socialclub/?fref=ts,,https://www.instagram.com/059socialclub/,
1 LOVE SERVICES,DELIVERY,,CHINO,CA,,"[Sunday => 12:00pm - 12:00pm], [Monday => 12:00pm - 12:00pm], [Tuesday => 12:00pm - 12:00pm], [Wednesday => 12:00pm - 12:00pm], [Thursday => 12:00pm - 12:00pm], [Friday => 12:00pm - 12:00pm], [Saturday => 12:00pm - 12:00pm], [Sunday => 12:00pm - 12:00pm], [Monday => 12:00pm - 12:00pm], [Tuesday => 12:00pm - 12:00pm], [Wednesday => 12:00pm - 12:00pm], [Thursday => 12:00pm - 12:00pm], [Friday => 12:00pm - 12:00pm], [Saturday => 12:00pm - 12:00pm]",(909) 295-2411,http://www.mmjmenu.com/1love,20/04/2016,0,4.9,,,,"[https://images.weedmaps.com/pictures/listings/485/534/272/large/71275_17548_xxrr_1334943003.jpg], [https://images.weedmaps.com/pictures/listings/485/534/272/large/106040_Bbk3.jpg], [https://images.weedmaps.com/pictures/listings/485/534/272/large/106041_Gdp.jpg], [https://images.weedmaps.com/pictures/listings/485/534/272/large/106236_Hawiian.jpg], [https://images.weedmaps.com/pictures/listings/485/534/272/large/1263795_kinglion.jpg], "
1 STOP GG,DISPENSARY,14136 BROOKHURST STREET,GARDEN GROVE,CA,92843,"[Sunday => 11:00am - 11:00pm], [Monday => 11:00am - 11:00pm], [Tuesday => 11:00am - 11:00pm], [Wednesday => 11:00am - 11:00pm], [Thursday => 11:00am - 11:00pm], [Friday => 11:00am - 11:00pm], [Saturday => 11:00am - 11:00pm], [Sunday => 11:00am - 11:00pm], [Monday => 11:00am - 11:00pm], [Tuesday => 11:00am - 11:00pm], [Wednesday => 11:00am - 11:00pm], [Thursday => 11:00am - 11:00pm], [Friday => 11:00am - 11:00pm], [Saturday => 11:00am - 11:00pm]",(714) 589-7444,,20/04/2016,0,4.7,,,http://instagram.com/1stop_oc,"[https://images.weedmaps.com/pictures/listings/687/828/586/large/3461369_onestop_gg_storefront_2.jpg], [https://images.weedmaps.com/pictures/listings/687/828/586/large/3461365_onestop_gg_storefront_1.jpg], [https://images.weedmaps.com/pictures/listings/687/828/586/large/3461391_onestop_gg_storefront_3.jpg], [https://images.weedmaps.com/pictures/listings/687/828/586/large/3479995_2731760_ATOMIK_GLUE.jpg], [https://images.weedmaps.com/pictures/listings/687/828/586/large/3480069_2519743_PRWhiteFireOG.jpg], [https://images.weedmaps.com/pictures/listings/687/828/586/large/3480063_2300981_WTF_OG.jpg], [https://images.weedmaps.com/pictures/listings/687/828/586/large/3476532_2300955_KING_LOUIE.jpg], [https://images.weedmaps.com/pictures/listings/687/828/586/large/3479867_3398242_pineapple_express.jpg], [https://images.weedmaps.com/pictures/listings/687/828/586/large/3479863_2519693_PRBlueberryYumYum.jpg], [https://images.weedmaps.com/pictures/listings/687/828/586/large/3479854_3398115_1stop.jpg], "
1 STOP OC - ANAHEIM HILLS,DELIVERY,,ANAHEIM HILLS,CA,,"[Sunday => 11:00am - 11:00pm], [Monday => 11:00am - 11:00pm], [Tuesday => 11:00am - 11:00pm], [Wednesday => 11:00am - 11:00pm], [Thursday => 11:00am - 11:00pm], [Friday => 11:00am - 11:00pm], [Saturday => 11:00am - 11:00pm], [Sunday => 11:00am - 11:00pm], [Monday => 11:00am - 11:00pm], [Tuesday => 11:00am - 11:00pm], [Wednesday => 11:00am - 11:00pm], [Thursday => 11:00am - 11:00pm], [Friday => 11:00am - 11:00pm], [Saturday => 11:00am - 11:00pm]",(714) 383-2408,,20/04/2016,0,4.8,,,http://instagram.com/1stop_oc,
